participantId,totalCount,totalAmountValue,totalAmountCurrency,fundDirection,transactionDate
2031228700000000,568,761822400,CNY,D,2023-06-01T00:00:00+08:00
participantId,transactionType,subTotalAmountValue,subTotalAmountCurrency,fundDirection,counterParticipantId,counterParticipantSubTotalAmountValue,counterParticipantSubTotalAmountCurrency,subTotalCount
2031228700000000,TRANSFER,761822400,CNY,D,105WFSG000000001000,761822400,CNY,568
participantId,transactionRequestId,transactionType,originalTransactionRequestId,transactionTime,amount,currency,fundDirection,counterParticipantId,counterParticipantAmountValue,counterParticipantAmountCurrency,quoteId,quotePrice,transactionId
2031228700000000,80212563946,TRANSFER,,2023-06-01T17:23:34+08:00,2076700,CNY,D,105WFSG000000001000,2076700,CNY,,,2023060119097101000720002624848
2031228700000000,80159141167,TRANSFER,,2023-06-01T11:46:53+08:00,531100,CNY,D,105WFSG000000001000,531100,CNY,,,2023060119097101000570002375815
2031228700000000,80157371449,TRANSFER,,2023-06-01T09:47:45+08:00,2129800,CNY,D,105WFSG000000001000,2129800,CNY,,,2023060119097101000170002376397
2031228700000000,80151458410,TRANSFER,,2023-06-01T18:23:15+08:00,530700,CNY,D,105WFSG000000001000,530700,CNY,,,2023060119097101000630002431810
2031228700000000,80198920295,TRANSFER,,2023-06-01T19:14:01+08:00,3197800,CNY,D,105WFSG000000001000,3197800,CNY,,,2023060119097101000490002382250
2031228700000000,80184113770,TRANSFER,,2023-06-01T12:35:53+08:00,1065100,CNY,D,105WFSG000000001000,1065100,CNY,,,2023060119097101000300002616689
2031228700000000,80671319718,TRANSFER,,2023-06-01T10:42:01+08:00,157400,CNY,D,105WFSG000000001000,157400,CNY,,,2023060119097101000310002378801
2031228700000000,80683418758,TRANSFER,,2023-06-01T20:59:45+08:00,2664600,CNY,D,105WFSG000000001000,2664600,CNY,,,2023060119097101000160002630173
2031228700000000,80131904280,TRANSFER,,2023-06-01T10:44:15+08:00,104100,CNY,D,105WFSG000000001000,104100,CNY,,,2023060119097101000560002658610
2031228700000000,80168781637,TRANSFER,,2023-06-01T18:39:53+08:00,530800,CNY,D,105WFSG000000001000,530800,CNY,,,2023060119097101000830002380524
2031228700000000,80539262094,TRANSFER,,2023-06-01T07:17:29+08:00,103700,CNY,D,105WFSG000000001000,103700,CNY,,,2023053119097101000600002622767
2031228700000000,80102389944,TRANSFER,,2023-06-01T17:05:15+08:00,797800,CNY,D,105WFSG000000001000,797800,CNY,,,2023060119097101000600002625467
2031228700000000,80485482550,TRANSFER,,2023-06-01T05:35:24+08:00,1061100,CNY,D,105WFSG000000001000,1061100,CNY,,,2023053119097101000170002374469
2031228700000000,80202524777,TRANSFER,,2023-06-01T06:33:15+08:00,263300,CNY,D,105WFSG000000001000,263300,CNY,,,2023053119097101000280002622886
2031228700000000,80140688719,TRANSFER,,2023-06-01T13:57:15+08:00,50700,CNY,D,105WFSG000000001000,50700,CNY,,,2023060119097101000740002607313
2031228700000000,80147191457,TRANSFER,,2023-06-01T11:40:04+08:00,1598300,CNY,D,105WFSG000000001000,1598300,CNY,,,2023060119097101000830002379261
2031228700000000,80109876954,TRANSFER,,2023-06-01T19:10:23+08:00,2665100,CNY,D,105WFSG000000001000,2665100,CNY,,,2023060119097101000030002386123
2031228700000000,80204296123,TRANSFER,,2023-06-01T21:35:53+08:00,1599900,CNY,D,105WFSG000000001000,1599900,CNY,,,2023060119097101000150002381155
2031228700000000,80199391933,TRANSFER,,2023-06-01T16:03:23+08:00,1062900,CNY,D,105WFSG000000001000,1062900,CNY,,,2023060119097101000030002385199
2031228700000000,80137179542,TRANSFER,,2023-06-01T16:03:54+08:00,2661200,CNY,D,105WFSG000000001000,2661200,CNY,,,2023060119097101000890002428205
2031228700000000,80362481109,TRANSFER,,2023-06-01T07:12:38+08:00,50500,CNY,D,105WFSG000000001000,50500,CNY,,,2023053119097101000520002637053
2031228700000000,80147606083,TRANSFER,,2023-06-01T16:32:04+08:00,530500,CNY,D,105WFSG000000001000,530500,CNY,,,2023060119097101000170002377354
2031228700000000,80499870094,TRANSFER,,2023-06-01T10:17:31+08:00,1492800,CNY,D,105WFSG000000001000,1492800,CNY,,,2023060119097101000300002615446
2031228700000000,80112428560,TRANSFER,,2023-06-01T22:06:27+08:00,1065900,CNY,D,105WFSG000000001000,1065900,CNY,,,2023060119097101000230002384149
2031228700000000,80217922320,TRANSFER,,2023-06-01T11:57:34+08:00,2666200,CNY,D,105WFSG000000001000,2666200,CNY,,,2023060119097101000680002626644
2031228700000000,80915383030,TRANSFER,,2023-06-01T21:40:04+08:00,1332800,CNY,D,105WFSG000000001000,1332800,CNY,,,2023060119097101000240002650024
2031228700000000,80752343547,TRANSFER,,2023-06-01T09:47:45+08:00,61300,CNY,D,105WFSG000000001000,61300,CNY,,,2023060119097101000620002589376
2031228700000000,80102644504,TRANSFER,,2023-06-01T18:54:45+08:00,157400,CNY,D,105WFSG000000001000,157400,CNY,,,2023060119097101000140002614499
2031228700000000,80158048801,TRANSFER,,2023-06-01T18:37:45+08:00,370800,CNY,D,105WFSG000000001000,370800,CNY,,,2023060119097101000970002383674
2031228700000000,80116464446,TRANSFER,,2023-06-01T12:55:08+08:00,104000,CNY,D,105WFSG000000001000,104000,CNY,,,2023060119097101000540002611842
2031228700000000,80984957147,TRANSFER,,2023-06-01T16:20:47+08:00,210500,CNY,D,105WFSG000000001000,210500,CNY,,,2023060119097101000540002611916
2031228700000000,80748692319,TRANSFER,,2023-06-01T14:34:45+08:00,1329700,CNY,D,105WFSG000000001000,1329700,CNY,,,2023060119097101000710002376115
2031228700000000,80143280816,TRANSFER,,2023-06-01T16:57:15+08:00,1064000,CNY,D,105WFSG000000001000,1064000,CNY,,,2023060119097101000530002368292
2031228700000000,80176834324,TRANSFER,,2023-06-01T12:52:45+08:00,1170500,CNY,D,105WFSG000000001000,1170500,CNY,,,2023060119097101000080002609553
2031228700000000,80409476451,TRANSFER,,2023-06-01T11:02:34+08:00,2667700,CNY,D,105WFSG000000001000,2667700,CNY,,,2023060119097101000980002600343
2031228700000000,80778458370,TRANSFER,,2023-06-01T16:40:23+08:00,200000,CNY,D,105WFSG000000001000,200000,CNY,,,2023060119097101000170002377764
2031228700000000,80411551164,TRANSFER,,2023-06-01T17:00:47+08:00,50700,CNY,D,105WFSG000000001000,50700,CNY,,,2023060119097101000140002616106
2031228700000000,80124184472,TRANSFER,,2023-06-01T10:44:45+08:00,2665400,CNY,D,105WFSG000000001000,2665400,CNY,,,2023060119097101000050002378255
2031228700000000,80846456436,TRANSFER,,2023-06-01T19:30:53+08:00,53400,CNY,D,105WFSG000000001000,53400,CNY,,,2023060119097101000400002621917
2031228700000000,80372670491,TRANSFER,,2023-06-01T17:14:23+08:00,2132000,CNY,D,105WFSG000000001000,2132000,CNY,,,2023060119097101000730002378059
2031228700000000,80668367898,TRANSFER,,2023-06-01T15:43:45+08:00,2662000,CNY,D,105WFSG000000001000,2662000,CNY,,,2023060119097101000990002382465
2031228700000000,80199069384,TRANSFER,,2023-06-01T10:26:34+08:00,2133700,CNY,D,105WFSG000000001000,2133700,CNY,,,2023060119097101000950002384557
2031228700000000,80159364268,TRANSFER,,2023-06-01T01:21:23+08:00,369600,CNY,D,105WFSG000000001000,369600,CNY,,,2023053119097101000360002624503
2031228700000000,80191445681,TRANSFER,,2023-06-01T08:09:45+08:00,50600,CNY,D,105WFSG000000001000,50600,CNY,,,2023060119097101000270002373320
2031228700000000,80193305858,TRANSFER,,2023-06-01T15:44:23+08:00,530300,CNY,D,105WFSG000000001000,530300,CNY,,,2023060119097101000060002626743
2031228700000000,80650452211,TRANSFER,,2023-06-01T09:29:59+08:00,904000,CNY,D,105WFSG000000001000,904000,CNY,,,2023060119097101000620002584400
